sample_id,signer_id,label,take_id,relative_path,source_group,file_size_bytes,split
P1_gde_0008_e7cda89b2567,P1,gde,8,_gde/P1_gde (8).mov,_gde,31816,test
P1_gde_0080_c968dcbea16a,P1,gde,80,_gde/P1_gde (80).mov,_gde,52939,test
P1_gde_0081_f723c6477406,P1,gde,81,_gde/P1_gde (81).mov,_gde,52939,test
P1_gde_0082_74da2228c295,P1,gde,82,_gde/P1_gde (82).mov,_gde,52939,test
P1_gde_0083_002525d92b2b,P1,gde,83,_gde/P1_gde (83).mov,_gde,52939,test
P1_gde_0084_60b798194d33,P1,gde,84,_gde/P1_gde (84).mov,_gde,52939,test
P1_gde_0085_c8486344769c,P1,gde,85,_gde/P1_gde (85).mov,_gde,52939,test
P1_gde_0086_f084c0ddd38a,P1,gde,86,_gde/P1_gde (86).mov,_gde,52939,test
P1_gde_0087_62799ea49965,P1,gde,87,_gde/P1_gde (87).mov,_gde,52939,test
P1_gde_0088_a4728f84311e,P1,gde,88,_gde/P1_gde (88).mov,_gde,52939,test
P1_gde_0089_990cb06c8e09,P1,gde,89,_gde/P1_gde (89).mov,_gde,52939,test
P1_gde_0009_145ec0ae5c0f,P1,gde,9,_gde/P1_gde (9).mov,_gde,31816,test
P1_gde_0090_8a2f68494847,P1,gde,90,_gde/P1_gde (90).mov,_gde,52939,test
P1_gde_0091_bbaaf67a5c14,P1,gde,91,_gde/P1_gde (91).mov,_gde,52939,test
P1_gde_0092_2f784fe98d14,P1,gde,92,_gde/P1_gde (92).mov,_gde,52939,test
P1_gde_0093_f2bae9580207,P1,gde,93,_gde/P1_gde (93).mov,_gde,52939,test
P1_gde_0094_b029f494c172,P1,gde,94,_gde/P1_gde (94).mov,_gde,57994,test
P1_gde_0095_b8dc466c2fa2,P1,gde,95,_gde/P1_gde (95).mov,_gde,57994,test
P1_gde_0096_807dceaf7bc6,P1,gde,96,_gde/P1_gde (96).mov,_gde,57994,test
P1_gde_0097_44c10b2377a8,P1,gde,97,_gde/P1_gde (97).mov,_gde,57994,test
P1_gde_0098_4a69075495cf,P1,gde,98,_gde/P1_gde (98).mov,_gde,57994,test
P1_gde_0099_d943cacc2b5c,P1,gde,99,_gde/P1_gde (99).mov,_gde,36598,test
P2_gde_0001_051896b77a72,P2,gde,1,_gde/P2_gde (1).mov,_gde,98644,validation
P2_gde_0010_1bdb1e04f93f,P2,gde,10,_gde/P2_gde (10).mov,_gde,105821,validation
P2_gde_0011_34cf8a880ecb,P2,gde,11,_gde/P2_gde (11).mov,_gde,114561,validation
P2_gde_0012_699a39ffb020,P2,gde,12,_gde/P2_gde (12).mov,_gde,98597,validation
P2_gde_0013_a7a49e3e9525,P2,gde,13,_gde/P2_gde (13).mov,_gde,112542,validation
P2_gde_0014_04c90de8201f,P2,gde,14,_gde/P2_gde (14).mov,_gde,98449,validation
P2_gde_0015_6fa55e9c9620,P2,gde,15,_gde/P2_gde (15).mov,_gde,91703,validation
P2_gde_0016_1ce577cdde0d,P2,gde,16,_gde/P2_gde (16).mov,_gde,88947,validation
P2_gde_0017_3f14ec5f437d,P2,gde,17,_gde/P2_gde (17).mov,_gde,91112,validation
P2_gde_0018_69a139e417d4,P2,gde,18,_gde/P2_gde (18).mov,_gde,116823,validation
P2_gde_0019_be68c8d55908,P2,gde,19,_gde/P2_gde (19).mov,_gde,141809,validation
P2_gde_0002_f4e4396d3fc3,P2,gde,2,_gde/P2_gde (2).mov,_gde,82899,validation
P2_gde_0020_e17068748260,P2,gde,20,_gde/P2_gde (20).mov,_gde,133810,validation
P2_gde_0021_e924b5250922,P2,gde,21,_gde/P2_gde (21).mov,_gde,108078,validation
P2_gde_0022_387d77c1b17d,P2,gde,22,_gde/P2_gde (22).mov,_gde,114674,validation
P2_gde_0023_4c4e8dba2d20,P2,gde,23,_gde/P2_gde (23).mov,_gde,125043,validation
P2_gde_0024_1860d02c89ba,P2,gde,24,_gde/P2_gde (24).mov,_gde,130763,validation
P2_gde_0025_c6475d387d9b,P2,gde,25,_gde/P2_gde (25).mov,_gde,132085,validation
P2_gde_0026_08365497c7c4,P2,gde,26,_gde/P2_gde (26).mov,_gde,132573,validation
P2_gde_0027_2dabe90582d7,P2,gde,27,_gde/P2_gde (27).mov,_gde,126190,validation
P2_gde_0028_5909b515c04f,P2,gde,28,_gde/P2_gde (28).mov,_gde,137552,validation
P2_gde_0029_7acd4a895a34,P2,gde,29,_gde/P2_gde (29).mov,_gde,134223,validation
P2_gde_0003_08539b7b8889,P2,gde,3,_gde/P2_gde (3).mov,_gde,72566,validation
P2_gde_0030_9fa65de11528,P2,gde,30,_gde/P2_gde (30).mov,_gde,89921,validation
P2_gde_0031_b9cd88f544d6,P2,gde,31,_gde/P2_gde (31).mov,_gde,86745,validation
P2_gde_0032_9daa65345efe,P2,gde,32,_gde/P2_gde (32).mov,_gde,123650,validation
P2_gde_0033_8e3dbc720799,P2,gde,33,_gde/P2_gde (33).mov,_gde,79815,validation
P2_gde_0034_d612b117cc26,P2,gde,34,_gde/P2_gde (34).mov,_gde,102706,validation
P2_gde_0035_650eb205dd0f,P2,gde,35,_gde/P2_gde (35).mov,_gde,100519,validation
P2_gde_0036_9a3b5c6c4e66,P2,gde,36,_gde/P2_gde (36).mov,_gde,103943,validation
P2_gde_0037_97f0062ab49f,P2,gde,37,_gde/P2_gde (37).mov,_gde,110052,validation
P2_gde_0038_15a8bd0a3ab1,P2,gde,38,_gde/P2_gde (38).mov,_gde,115410,validation
P2_gde_0039_a35504b1274a,P2,gde,39,_gde/P2_gde (39).mov,_gde,120685,validation
P2_gde_0004_4f478d01c794,P2,gde,4,_gde/P2_gde (4).mov,_gde,91102,validation
P2_gde_0040_4ce3f7d9a300,P2,gde,40,_gde/P2_gde (40).mov,_gde,135500,validation
P2_gde_0005_231ed143be95,P2,gde,5,_gde/P2_gde (5).mov,_gde,83442,validation
P2_gde_0006_bf6fc445b286,P2,gde,6,_gde/P2_gde (6).mov,_gde,102680,validation
P2_gde_0007_23717c64f0c7,P2,gde,7,_gde/P2_gde (7).mov,_gde,107270,validation
P2_gde_0008_87fb48e2a72b,P2,gde,8,_gde/P2_gde (8).mov,_gde,100056,validation
P2_gde_0009_e8cda0298b79,P2,gde,9,_gde/P2_gde (9).mov,_gde,92975,validation
P3_gde_0001_1ad3c77e580a,P3,gde,1,_gde/P3_gde (1).mov,_gde,66446,train
P3_gde_0010_7a9c4c44674c,P3,gde,10,_gde/P3_gde (10).mov,_gde,66905,train
P3_gde_0011_163c2dd4c29c,P3,gde,11,_gde/P3_gde (11).mov,_gde,63283,train
P3_gde_0012_b4c2f4a4d344,P3,gde,12,_gde/P3_gde (12).mov,_gde,62766,train
P3_gde_0013_1e9c0e2e1f50,P3,gde,13,_gde/P3_gde (13).mov,_gde,62999,train
P3_gde_0014_821e05f21922,P3,gde,14,_gde/P3_gde (14).mov,_gde,61896,train
P3_gde_0015_1fc81ec0398e,P3,gde,15,_gde/P3_gde (15).mov,_gde,61006,train
P3_gde_0016_7bb60de9865e,P3,gde,16,_gde/P3_gde (16).mov,_gde,85691,train
P3_gde_0017_b595c60d277b,P3,gde,17,_gde/P3_gde (17).mov,_gde,66082,train
P3_gde_0018_77d6084181ac,P3,gde,18,_gde/P3_gde (18).mov,_gde,78870,train
P3_gde_0019_2e3f376e16d9,P3,gde,19,_gde/P3_gde (19).mov,_gde,64886,train
P3_gde_0002_984e2e060b68,P3,gde,2,_gde/P3_gde (2).mov,_gde,52910,train
P3_gde_0020_307b2e7d2dd4,P3,gde,20,_gde/P3_gde (20).mov,_gde,64041,train
P3_gde_0021_d809668c87ec,P3,gde,21,_gde/P3_gde (21).mov,_gde,68801,train
P3_gde_0022_c8f5fc916d05,P3,gde,22,_gde/P3_gde (22).mov,_gde,57549,train
P3_gde_0023_9b84d1e658d7,P3,gde,23,_gde/P3_gde (23).mov,_gde,73776,train
P3_gde_0024_a8705f0b74b7,P3,gde,24,_gde/P3_gde (24).mov,_gde,91922,train
P3_gde_0025_cc85a7a48f2d,P3,gde,25,_gde/P3_gde (25).mov,_gde,76645,train
P3_gde_0026_b7a1bb5782f8,P3,gde,26,_gde/P3_gde (26).mov,_gde,56044,train
P3_gde_0027_ca2501264fe3,P3,gde,27,_gde/P3_gde (27).mov,_gde,64506,train
P3_gde_0028_3343a30d0b4a,P3,gde,28,_gde/P3_gde (28).mov,_gde,60500,train
P3_gde_0029_42c8ee72fd30,P3,gde,29,_gde/P3_gde (29).mov,_gde,69263,train
P3_gde_0003_2bc2b92ecd4d,P3,gde,3,_gde/P3_gde (3).mov,_gde,77320,train
P3_gde_0030_b6394fdcf0f9,P3,gde,30,_gde/P3_gde (30).mov,_gde,62640,train
P3_gde_0031_57519fead287,P3,gde,31,_gde/P3_gde (31).mov,_gde,85433,train
P3_gde_0032_2df80b396cf2,P3,gde,32,_gde/P3_gde (32).mov,_gde,69881,train
P3_gde_0033_317db98c70ba,P3,gde,33,_gde/P3_gde (33).mov,_gde,62862,train
P3_gde_0034_43afb6a9ec78,P3,gde,34,_gde/P3_gde (34).mov,_gde,64958,train
P3_gde_0035_4de7b08c75e9,P3,gde,35,_gde/P3_gde (35).mov,_gde,66446,train
P3_gde_0036_26045d61c269,P3,gde,36,_gde/P3_gde (36).mov,_gde,65178,train
P3_gde_0037_cd0c3043eae0,P3,gde,37,_gde/P3_gde (37).mov,_gde,64737,train
P3_gde_0038_414b385559f7,P3,gde,38,_gde/P3_gde (38).mov,_gde,69233,train
P3_gde_0039_afcd4c9b0c57,P3,gde,39,_gde/P3_gde (39).mov,_gde,63495,train
P3_gde_0004_ab8e7301577d,P3,gde,4,_gde/P3_gde (4).mov,_gde,70262,train
P3_gde_0040_f42a10dcbce2,P3,gde,40,_gde/P3_gde (40).mov,_gde,62862,train
P3_gde_0005_9ed49bbdf53d,P3,gde,5,_gde/P3_gde (5).mov,_gde,83115,train
P3_gde_0006_aceef474abdb,P3,gde,6,_gde/P3_gde (6).mov,_gde,90451,train
P3_gde_0007_e3779f1cb183,P3,gde,7,_gde/P3_gde (7).mov,_gde,86903,train
P3_gde_0008_3880367cfea5,P3,gde,8,_gde/P3_gde (8).mov,_gde,62804,train
P3_gde_0009_2b9ac3e7c35c,P3,gde,9,_gde/P3_gde (9).mov,_gde,68757,train
P4_gde_0001_8e581c695001,P4,gde,1,_gde/P4_gde (1).mov,_gde,122019,train
P4_gde_0010_bf5872d8da76,P4,gde,10,_gde/P4_gde (10).mov,_gde,92107,train
P4_gde_0011_a9fe03b8e547,P4,gde,11,_gde/P4_gde (11).mov,_gde,93052,train
P4_gde_0012_8590086274a1,P4,gde,12,_gde/P4_gde (12).mov,_gde,103647,train
P4_gde_0013_6761dba87534,P4,gde,13,_gde/P4_gde (13).mov,_gde,76939,train
P4_gde_0014_19074c03789f,P4,gde,14,_gde/P4_gde (14).mov,_gde,114521,train
P4_gde_0015_3358dabb78a9,P4,gde,15,_gde/P4_gde (15).mov,_gde,92082,train
P4_gde_0016_a3503c406742,P4,gde,16,_gde/P4_gde (16).mov,_gde,80413,train
P4_gde_0017_7f148e621cd7,P4,gde,17,_gde/P4_gde (17).mov,_gde,110568,train
P4_gde_0018_1517349cef61,P4,gde,18,_gde/P4_gde (18).mov,_gde,87228,train
P4_gde_0019_ffb5f3a47875,P4,gde,19,_gde/P4_gde (19).mov,_gde,116809,train
P4_gde_0002_7b96760a4fa3,P4,gde,2,_gde/P4_gde (2).mov,_gde,84745,train
P4_gde_0020_bb48bcc16a35,P4,gde,20,_gde/P4_gde (20).mov,_gde,167624,train
P4_gde_0021_6a32e5ca6f4a,P4,gde,21,_gde/P4_gde (21).mov,_gde,128139,train
P4_gde_0022_46222181643d,P4,gde,22,_gde/P4_gde (22).mov,_gde,103274,train
P4_gde_0023_1d3d40d44e3d,P4,gde,23,_gde/P4_gde (23).mov,_gde,115447,train
P4_gde_0024_3c551bcb55e9,P4,gde,24,_gde/P4_gde (24).mov,_gde,67821,train
P4_gde_0025_5491676a1f6a,P4,gde,25,_gde/P4_gde (25).mov,_gde,102351,train
P4_gde_0026_15e4ba3cf902,P4,gde,26,_gde/P4_gde (26).mov,_gde,118606,train
P4_gde_0027_49e19b2f36b0,P4,gde,27,_gde/P4_gde (27).mov,_gde,127193,train
P4_gde_0028_e24f9dc3e505,P4,gde,28,_gde/P4_gde (28).mov,_gde,129946,train
P4_gde_0029_d90597c69fa0,P4,gde,29,_gde/P4_gde (29).mov,_gde,123226,train
P4_gde_0003_394e9c98d20e,P4,gde,3,_gde/P4_gde (3).mov,_gde,83399,train
P4_gde_0030_b2e373a8566e,P4,gde,30,_gde/P4_gde (30).mov,_gde,150513,train
P4_gde_0031_8b48a3c5e37a,P4,gde,31,_gde/P4_gde (31).mov,_gde,119643,train
P4_gde_0032_07775fdcce74,P4,gde,32,_gde/P4_gde (32).mov,_gde,148301,train
P4_gde_0033_116002b42c4b,P4,gde,33,_gde/P4_gde (33).mov,_gde,56717,train
P4_gde_0034_3800304fae0b,P4,gde,34,_gde/P4_gde (34).mov,_gde,132264,train
P4_gde_0035_92373d09bcae,P4,gde,35,_gde/P4_gde (35).mov,_gde,141119,train
P4_gde_0036_ef1b4548e6c5,P4,gde,36,_gde/P4_gde (36).mov,_gde,208051,train
P4_gde_0037_1a0595181f9e,P4,gde,37,_gde/P4_gde (37).mov,_gde,95723,train
P4_gde_0038_7edfd38016d6,P4,gde,38,_gde/P4_gde (38).mov,_gde,136963,train
P4_gde_0039_fb9893c75b20,P4,gde,39,_gde/P4_gde (39).mov,_gde,146095,train
P4_gde_0004_8d3a00912c79,P4,gde,4,_gde/P4_gde (4).mov,_gde,100949,train
P4_gde_0040_a339906d4f1c,P4,gde,40,_gde/P4_gde (40).mov,_gde,140120,train
P4_gde_0005_57d1e796cf5c,P4,gde,5,_gde/P4_gde (5).mov,_gde,150347,train
P4_gde_0006_e70cc2cebbc4,P4,gde,6,_gde/P4_gde (6).mov,_gde,110579,train
P4_gde_0007_08fe4d904b38,P4,gde,7,_gde/P4_gde (7).mov,_gde,106511,train
P4_gde_0008_ea7b1f7033a9,P4,gde,8,_gde/P4_gde (8).mov,_gde,94309,train
P4_gde_0009_1e393c458cfd,P4,gde,9,_gde/P4_gde (9).mov,_gde,119856,train
P5_gde_0001_3b78ad4dc781,P5,gde,1,_gde/P5_gde (1).mov,_gde,83567,train
P5_gde_0010_034bfff639fa,P5,gde,10,_gde/P5_gde (10).mov,_gde,114586,train
P5_gde_0011_766a19c527b7,P5,gde,11,_gde/P5_gde (11).mov,_gde,82696,train
P5_gde_0012_b5344819417f,P5,gde,12,_gde/P5_gde (12).mov,_gde,83836,train
P5_gde_0013_9e720a212985,P5,gde,13,_gde/P5_gde (13).mov,_gde,83067,train
P5_gde_0014_399c4a5132a4,P5,gde,14,_gde/P5_gde (14).mov,_gde,125901,train
P5_gde_0015_f9360e917e9d,P5,gde,15,_gde/P5_gde (15).mov,_gde,89232,train
P5_gde_0016_563dadfcbf81,P5,gde,16,_gde/P5_gde (16).mov,_gde,97414,train
P5_gde_0017_ad95d5314d4c,P5,gde,17,_gde/P5_gde (17).mov,_gde,94816,train
P5_gde_0018_9261fb589a89,P5,gde,18,_gde/P5_gde (18).mov,_gde,95396,train
P5_gde_0019_a6f94cf75711,P5,gde,19,_gde/P5_gde (19).mov,_gde,119268,train
P5_gde_0002_910c1d302810,P5,gde,2,_gde/P5_gde (2).mov,_gde,75509,train
P5_gde_0020_aa9490cf072e,P5,gde,20,_gde/P5_gde (20).mov,_gde,188308,train
P5_gde_0021_761fe6cf6101,P5,gde,21,_gde/P5_gde (21).mov,_gde,93476,train
P5_gde_0022_30fa4313dc9d,P5,gde,22,_gde/P5_gde (22).mov,_gde,128466,train
P5_gde_0023_73220961575c,P5,gde,23,_gde/P5_gde (23).mov,_gde,122336,train
P5_gde_0024_1784a267300a,P5,gde,24,_gde/P5_gde (24).mov,_gde,113186,train
P5_gde_0025_c5af0ac2a3d4,P5,gde,25,_gde/P5_gde (25).mov,_gde,95396,train
P5_gde_0026_e982f734e3ba,P5,gde,26,_gde/P5_gde (26).mov,_gde,84462,train
P5_gde_0027_9d332beb08e9,P5,gde,27,_gde/P5_gde (27).mov,_gde,82064,train
P5_gde_0028_e334d3c24743,P5,gde,28,_gde/P5_gde (28).mov,_gde,82096,train
P5_gde_0029_c07ded655a32,P5,gde,29,_gde/P5_gde (29).mov,_gde,89426,train
P5_gde_0003_b287648c3949,P5,gde,3,_gde/P5_gde (3).mov,_gde,53881,train
P5_gde_0030_ae1476a4f30c,P5,gde,30,_gde/P5_gde (30).mov,_gde,99377,train
P5_gde_0031_75d4c61e5db4,P5,gde,31,_gde/P5_gde (31).mov,_gde,90449,train
P5_gde_0032_c6f8ad363844,P5,gde,32,_gde/P5_gde (32).mov,_gde,128996,train
P5_gde_0033_ff0dd0e4db6d,P5,gde,33,_gde/P5_gde (33).mov,_gde,73421,train
P5_gde_0034_afcc34bd0839,P5,gde,34,_gde/P5_gde (34).mov,_gde,116856,train
P5_gde_0035_7620158f6bde,P5,gde,35,_gde/P5_gde (35).mov,_gde,115575,train
P5_gde_0036_938efda32599,P5,gde,36,_gde/P5_gde (36).mov,_gde,64420,train
P5_gde_0037_1f3ab960f692,P5,gde,37,_gde/P5_gde (37).mov,_gde,84624,train
P5_gde_0038_5d25f5d058af,P5,gde,38,_gde/P5_gde (38).mov,_gde,91884,train
P5_gde_0039_155497ad5d00,P5,gde,39,_gde/P5_gde (39).mov,_gde,89232,train
P5_gde_0004_793848182d7a,P5,gde,4,_gde/P5_gde (4).mov,_gde,72658,train
P5_gde_0040_33be52881142,P5,gde,40,_gde/P5_gde (40).mov,_gde,82945,train
P5_gde_0005_4a98e3983a9b,P5,gde,5,_gde/P5_gde (5).mov,_gde,75990,train
P5_gde_0006_4d6bda6db1df,P5,gde,6,_gde/P5_gde (6).mov,_gde,82982,train
P5_gde_0007_b370416aa9b2,P5,gde,7,_gde/P5_gde (7).mov,_gde,193742,train
P5_gde_0008_c1262974302b,P5,gde,8,_gde/P5_gde (8).mov,_gde,126200,train
P5_gde_0009_970aad42adc0,P5,gde,9,_gde/P5_gde (9).mov,_gde,109394,train
P1_gdeQ_0001_f725a7b933b8,P1,gdeQ,1,_gde_q/P1_gdeQ (1).mov,_gde_q,120491,test
P1_gdeQ_0010_886685bd9de7,P1,gdeQ,10,_gde_q/P1_gdeQ (10).mov,_gde_q,120491,test
P1_gdeQ_0100_b07e7b2b3673,P1,gdeQ,100,_gde_q/P1_gdeQ (100).mov,_gde_q,80569,test
P1_gdeQ_0011_429d2cc37663,P1,gdeQ,11,_gde_q/P1_gdeQ (11).mov,_gde_q,120491,test
P1_gdeQ_0012_7351339a54a5,P1,gdeQ,12,_gde_q/P1_gdeQ (12).mov,_gde_q,120491,test
P1_gdeQ_0013_96b302ebd8c8,P1,gdeQ,13,_gde_q/P1_gdeQ (13).mov,_gde_q,120491,test
P1_gdeQ_0014_ddd6b4053e15,P1,gdeQ,14,_gde_q/P1_gdeQ (14).mov,_gde_q,83899,test
P1_gdeQ_0015_9a5fafdb7cc8,P1,gdeQ,15,_gde_q/P1_gdeQ (15).mov,_gde_q,83899,test
P1_gdeQ_0016_4524ee9170b7,P1,gdeQ,16,_gde_q/P1_gdeQ (16).mov,_gde_q,83899,test
P1_gdeQ_0017_05254051a1f8,P1,gdeQ,17,_gde_q/P1_gdeQ (17).mov,_gde_q,83899,test
P1_gdeQ_0018_5608e1a11d10,P1,gdeQ,18,_gde_q/P1_gdeQ (18).mov,_gde_q,83899,test
P1_gdeQ_0019_e093c23a6b2e,P1,gdeQ,19,_gde_q/P1_gdeQ (19).mov,_gde_q,83899,test
P1_gdeQ_0002_f1fb720b802d,P1,gdeQ,2,_gde_q/P1_gdeQ (2).mov,_gde_q,120491,test
P1_gdeQ_0020_279d3bbf4a5b,P1,gdeQ,20,_gde_q/P1_gdeQ (20).mov,_gde_q,83899,test
